timestamp,hours_from_start,breach_flow_cfs,breach_velocity_fts,breach_width_ft,breach_bottom_elev_ft
04SEP2026 02:26:00,2.4336,10068.651,6.044,328.0,170.0
04SEP2026 02:27:00,2.4504,9942.743,6.02,328.0,170.0
04SEP2026 02:28:00,2.4672,9818.939,5.996,328.0,170.0
04SEP2026 02:29:00,2.484,9697.265,5.973,328.0,170.0
04SEP2026 02:30:00,2.5008,9577.61,5.95,328.0,170.0
04SEP2026 02:31:00,2.5176,9459.922,5.927,328.0,170.0
04SEP2026 02:32:00,2.5343999999999998,9344.227,5.904,328.0,170.0
04SEP2026 02:33:00,2.5512,9230.461,5.881,328.0,170.0
04SEP2026 02:34:00,2.5656,9118.525,5.859,328.0,170.0
04SEP2026 02:35:00,2.5824,9008.447,5.837,328.0,170.0
04SEP2026 02:36:00,2.5991999999999997,8900.171,5.815,328.0,170.0
04SEP2026 02:37:00,2.616,8793.641,5.793,328.0,170.0
04SEP2026 02:38:00,2.6328,8688.837,5.772,328.0,170.0
04SEP2026 02:39:00,2.6496,8585.75,5.751,328.0,170.0
04SEP2026 02:40:00,2.6664000000000003,8484.286,5.729,328.0,170.0
04SEP2026 02:41:00,2.6832,8384.464,5.709,328.0,170.0
04SEP2026 02:42:00,2.7,8286.238,5.688,328.0,170.0
04SEP2026 02:43:00,2.7168,8189.552,5.667,328.0,170.0
04SEP2026 02:44:00,2.7336,8094.435,5.647,328.0,170.0
04SEP2026 02:45:00,2.7504,8000.752,5.627,328.0,170.0
04SEP2026 02:46:00,2.7672,7908.572,5.607,328.0,170.0
04SEP2026 02:47:00,2.7840000000000003,7817.845,5.587,328.0,170.0
04SEP2026 02:48:00,2.8007999999999997,7728.518,5.567,328.0,170.0
04SEP2026 02:49:00,2.8176,7640.539,5.548,328.0,170.0
04SEP2026 02:50:00,2.8344,7553.943,5.528,328.0,170.0
04SEP2026 02:51:00,2.8512,7468.673,5.509,328.0,170.0
04SEP2026 02:52:00,2.8656,7384.724,5.49,328.0,170.0
04SEP2026 02:53:00,2.8824,7302.043,5.472,328.0,170.0
04SEP2026 02:54:00,2.8992,7220.622,5.453,328.0,170.0
04SEP2026 02:55:00,2.916,7140.408,5.435,328.0,170.0
04SEP2026 02:56:00,2.9328000000000003,7061.437,5.416,328.0,170.0
04SEP2026 02:57:00,2.9495999999999998,6983.623,5.398,328.0,170.0
04SEP2026 02:58:00,2.9664,6906.989,5.38,328.0,170.0
04SEP2026 02:59:00,2.9832,6831.494,5.362,328.0,170.0
04SEP2026 03:00:00,3.0,6757.089,5.345,328.0,170.0
04SEP2026 03:01:00,3.0168,6683.804,5.327,328.0,170.0
04SEP2026 03:02:00,3.0336000000000003,6611.629,5.31,328.0,170.0
